03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 
                                                                                               ==========================================
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PtpConnectionManager】开始连接 PTP/IP 设备：192.168.1.1:15740
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 使用 HarmonyOS NetworkKit TCP Socket
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ==========================================
03-13 22:39:28.779   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 1] 创建 TCP Socket...
03-13 22:39:28.800   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【STEP 1 成功】TCP Socket 创建成功
03-13 22:39:28.800   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 2] 开始 TCP 连接到 192.168.1.1:15740...
03-13 22:39:28.800   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 2] 调用 connectToHost...
03-13 22:39:28.800   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connectToHost] 构建连接参数：IP=192.168.1.1, Port=15740
03-13 22:39:28.800   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connectToHost] NetAddress: {"address":"192.168.1.1","port":15740}
03-13 22:39:28.800   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connectToHost] TCPConnectOptions: {"address":{"address":"192.168.1.1","port":15740}}
03-13 22:39:28.800   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connectToHost] 调用 tcpSocket.connect...
03-13 22:39:28.821   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【connectToHost】TCP 连接成功
