03-10 23:51:30.639   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【STEP 1 成功】TCP Socket 创建成功
03-10 23:51:30.639   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 2] 开始 TCP 连接到 192.168.1.1:15740...
03-10 23:51:30.639   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 2] 调用 connectToHost...
03-10 23:51:30.639   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connectToHost] 构建连接参数：IP=192.168.1.1, Port=15740
03-10 23:51:30.640   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connectToHost] NetAddress: {"address":"192.168.1.1","port":15740}
03-10 23:51:30.640   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connectToHost] TCPConnectOptions: {"address":{"address":"192.168.1.1","port":15740}}
03-10 23:51:30.640   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connectToHost] 调用 tcpSocket.connect...
03-10 23:51:30.673   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【connectToHost】TCP 连接成功
03-10 23:51:30.673   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【STEP 2 成功】TCP 连接建立成功！状态：1
03-10 23:51:30.673   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 2 完成] 设置 connectionState = Connected
03-10 23:51:30.673   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 
                                                                                               [STEP 3] 等待相机准备就绪...
03-10 23:51:30.673   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 3] 开始休眠 200ms
03-10 23:51:30.876   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【STEP 3 完成】相机已准备就绪，继续 STEP 4
03-10 23:51:30.876   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 
                                                                                               ==========================================
03-10 23:51:30.876   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 4] PTP/IP 握手：发送 Init_Command_Request...
03-10 23:51:30.876   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 4] 当前连接状态：2
03-10 23:51:30.876   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 4] TCP Socket 状态：正常
03-10 23:51:30.876   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 4] 调用 sendInitCommandRequest()
03-10 23:51:30.876   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] ✅ 开始构造 Init_Command_Request 包（模拟智能设备）...
03-10 23:51:30.877   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] 发送 Init_Command_Request 包，总长度：30 字节
03-10 23:51:30.877   41794-41794   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitCommandRequest] 开始发送数据...
